onset	duration	trial_type	response_time
4.022845	4.216531	event_friend_reward	1.340648
4.022845	1.340648	friend_face	1.340648
15.524131	4.215849	event_stranger_neutral	1.855990
15.524131	1.855990	stranger_face	1.855990
20.555363	5.829632	event_computer_neutral	1.041735
20.555363	1.041735	computer_non-faceclea	1.041735
30.436740	5.022270	event_friend_reward	0.827895
30.436740	0.827895	friend_face	0.827895
36.280186	4.217062	event_stranger_punish	0.933186
36.280186	0.933186	stranger_face	0.933186
41.317050	5.024139	event_stranger_reward	1.246512
41.317050	1.246512	stranger_face	1.246512
47.161568	4.215626	event_stranger_punish	1.451809
47.161568	1.451809	stranger_face	1.451809
55.428024	4.214863	event_stranger_neutral	0.835497
55.428024	0.835497	stranger_face	0.835497
68.531160	4.216636	event_computer_punish	0.849425
68.531160	0.849425	computer_non-faceclea	0.849425
78.413440	5.830097	event_friend_reward	1.033140
78.413440	1.033140	friend_face	1.033140
89.909940	5.827796	event_stranger_reward	0.836874
89.909940	0.836874	stranger_face	0.836874
98.172760	5.023051	event_friend_neutral	0.740662
98.172760	0.740662	friend_face	0.740662
105.623250	4.214945	event_computer_reward	0.940111
105.623250	0.940111	computer_non-faceclea	0.940111
110.657715	5.024670	event_friend_punish	0.938962
110.657715	0.938962	friend_face	0.938962
118.115890	4.214880	event_friend_punish	1.147324
118.115890	1.147324	friend_face	1.147324
129.610170	5.828611	event_friend_reward	1.669594
129.610170	1.669594	friend_face	1.669594
136.263170	5.835547	event_friend_punish	1.134723
136.263170	1.134723	friend_face	1.134723
142.911250	5.829472	event_computer_reward	0.318756
142.911250	0.318756	computer_non-faceclea	0.318756
151.167250	5.021751	event_computer_reward	0.829131
151.167250	0.829131	computer_non-faceclea	0.829131
158.616000	5.022921	event_computer_punish	1.347256
158.616000	1.347256	computer_non-faceclea	1.347256
166.073750	5.829495	event_friend_punish	1.555842
166.073750	1.555842	friend_face	1.555842
172.715500	5.022164	event_computer_neutral	1.864386
172.715500	1.864386	computer_non-faceclea	1.864386
178.558490	4.215196	event_stranger_reward	1.454534
178.558490	1.454534	stranger_face	1.454534
185.208910	5.829307	event_friend_reward	1.037270
185.208910	1.037270	friend_face	1.037270
191.856740	5.022286	event_friend_punish	1.756413
191.856740	1.756413	friend_face	1.756413
202.536290	4.214726	event_computer_reward	1.959811
202.536290	1.959811	computer_non-faceclea	1.959811
207.562790	5.022093	event_computer_reward	1.966934
207.562790	1.966934	computer_non-faceclea	1.966934
215.021330	5.022564	event_stranger_punish	0.941514
215.021330	0.941514	stranger_face	0.941514
220.865330	5.830307	event_stranger_reward	1.447437
220.865330	1.447437	stranger_face	1.447437
227.508700	5.830305	event_computer_punish	1.137509
227.508700	1.137509	computer_non-faceclea	1.137509
239.004820	4.215659	event_stranger_reward	0.841414
239.004820	0.841414	stranger_face	0.841414
245.655900	4.214473	event_stranger_punish	0.723791
245.655900	0.723791	stranger_face	0.723791
250.691380	5.828261	event_stranger_punish	1.854535
250.691380	1.854535	stranger_face	1.854535
260.570280	4.212657	event_stranger_punish	2.075656
260.570280	2.075656	stranger_face	2.075656
265.603180	5.021625	event_stranger_reward	1.042724
265.603180	1.042724	stranger_face	1.042724
274.667800	5.021542	event_computer_punish	1.145031
274.667800	1.145031	computer_non-faceclea	1.145031
280.500520	4.215244	event_computer_reward	1.345359
280.500520	1.345359	computer_non-faceclea	1.345359
285.535770	5.022590	event_friend_punish	1.143417
285.535770	1.143417	friend_face	1.143417
292.986100	4.214059	event_computer_reward	1.443162
292.986100	1.443162	computer_non-faceclea	1.443162
298.011570	5.023352	event_computer_punish	1.450960
298.011570	1.450960	computer_non-faceclea	1.450960
305.461120	4.213238	event_computer_punish	0.734930
305.461120	0.734930	computer_non-faceclea	0.734930
310.495150	5.828868	event_stranger_punish	1.550557
310.495150	1.550557	stranger_face	1.550557
317.144470	5.023489	event_friend_neutral	1.451327
317.144470	1.451327	friend_face	1.451327
322.987300	5.829277	event_friend_punish	1.141894
322.987300	1.141894	friend_face	1.141894
329.635100	4.215617	event_friend_punish	0.627336
329.635100	0.627336	friend_face	0.627336
337.899140	5.829265	event_friend_reward	0.630035
337.899140	0.630035	friend_face	0.630035
346.162320	4.214623	event_friend_reward	0.933368
346.162320	0.933368	friend_face	0.933368
352.812560	5.827859	event_stranger_reward	1.032944
352.812560	1.032944	stranger_face	1.032944
362.682700	5.022056	event_computer_punish	1.146372
362.682700	1.146372	computer_non-faceclea	1.146372
368.526000	5.022844	event_stranger_reward	1.652837
368.526000	1.652837	stranger_face	1.652837
374.361240	5.828151	event_computer_punish	1.034510
374.361240	1.034510	computer_non-faceclea	1.034510
381.010070	5.020918	event_stranger_punish	1.252352
381.010070	1.252352	stranger_face	1.252352
386.843200	5.829794	event_computer_reward	1.552615
386.843200	1.552615	computer_non-faceclea	1.552615
396.722960	5.829290	event_friend_reward	1.139514
396.722960	1.139514	friend_face	1.139514
